INFO  2025-02-10 13:19:45,748 10249ms TimeSheet              CheckHolidayList   - CheckHolidayList start in timesheetbussiness 2/10/2025 1:19:45 PM
INFO  2025-02-10 13:19:45,748 10249ms TimeSheet              CheckHolidayList   - CheckHolidayList end in timesheetbussiness 2/10/2025 1:19:45 PM
INFO  2025-02-10 13:19:45,748 10249ms Program                Main               - 2.4 Checking Holiday Ended 2/10/2025 1:19:45 PM
INFO  2025-02-10 13:19:45,748 10249ms Program                Main               - 2.5 Generate Timesheet Reports Data For single day employees started 2/10/2025 1:19:45 PM
INFO  2025-02-10 13:19:45,748 10249ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:19:45 PM
INFO  2025-02-10 13:19:46,342 10843ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:19:46,342 10843ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.5781112
INFO  2025-02-10 13:19:46,342 10843ms TimeSheet              mesheetReportsData - Gentimesheetre Foreach loop enter2/10/2025 1:19:45 PM
INFO  2025-02-10 13:19:46,373 10874ms TimeSheet              ateTsUserStatusNew - UpdateTsUserStatusNew start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,373 10874ms TimeSheet              ayStatusAndTimings - getUserFullDayStatusAndTimings start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,373 10874ms TimeSheet              tUserMorningStatus - getUserMorningStatus start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,389 10890ms TimeSheet              tUserMorningStatus - getUserMorningStatus end in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,389 10890ms TimeSheet              tUserEveningStatus - getUserEveningStatus start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,389 10890ms TimeSheet              tUserEveningStatus - getUserEveningStatus end in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,389 10890ms TimeSheet              ayStatusAndTimings - getUserFullDayStatusAndTimings end in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,389 10890ms TimeSheet              getUserUniqueId    - getUserUniqueId start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,451 10952ms TimeSheet              ateTsUserStatusNew - UpdateTsUserStatusNew end in timesheetbussiness 2/10/2025 1:19:46 PM Duration 00:00:00.0781373
INFO  2025-02-10 13:19:46,514 11015ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,514 11015ms Program                Main               - 2.6 Generate Timesheet Reports Data For single day employees Ended 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,514 11015ms TimeSheet              teRequestFormUsers - UpdateRequestFormUsers start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,623 11124ms TimeSheet              teRequestFormUsers - UpdateRequestFormUsers end in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,623 11124ms Program                Main               - 2.8 Update Request Form Ended 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,639 11140ms TimeSheet              RequestFormODUsers - UpdateRequestFormODUsers start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,686 11187ms TimeSheet              RequestFormODUsers - UpdateRequestFormODUsers end in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,686 11187ms Program                Main               - 2.10 Update cancel-Approved OD Request Ended 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,686 11187ms Program                Main               - 2.11 Start - Last 15 days check for the entries 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:19:46,686 11187ms TimeSheet              Check_Last_15days  - Check_Last_15days start in timesheetbussiness 2/10/2025 1:19:46 PM
INFO  2025-02-10 13:21:13,976 98477ms TimeSheet              Check_Last_15days  - RerunForGivenBranches end in timesheetbussiness 2/10/2025 1:21:13 PM
INFO  2025-02-10 13:21:13,976 98477ms Program                Main               - 2.12 End - Last 15 days check for the entries 2/10/2025 1:21:13 PM
INFO  2025-02-10 13:21:13,976 98477ms Program                Main               - Get BranchWise BioMetric Logs Service started 2/10/2025 1:21:13 PM
INFO  2025-02-10 13:21:13,976 98477ms TimeSheet              unForGivenBranches - RerunForGivenBranches start in timesheetbussiness 2/10/2025 1:21:13 PM
INFO  2025-02-10 13:21:14,039 98540ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:14 PM
INFO  2025-02-10 13:21:14,507 99008ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:14 PM
INFO  2025-02-10 13:21:14,742 99244ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:14,742 99244ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2343682
INFO  2025-02-10 13:21:14,742 99244ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:14 PM
INFO  2025-02-10 13:21:14,805 99306ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:14 PM
INFO  2025-02-10 13:21:14,821 99322ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus end in timesheetbussiness 2/10/2025 1:21:14 PM
INFO  2025-02-10 13:21:14,821 99322ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:14 PM
INFO  2025-02-10 13:21:14,836 99337ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:14 PM
INFO  2025-02-10 13:21:15,055 99556ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:15,055 99556ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2187422
INFO  2025-02-10 13:21:15,055 99556ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,102 99603ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,117 99618ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,374 99875ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:15,374 99875ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2562365
INFO  2025-02-10 13:21:15,375 99876ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,424 99925ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,455 99956ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,658 100159ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:15,658 100159ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2031198
INFO  2025-02-10 13:21:15,658 100159ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,721 100222ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,736 100237ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:15,939 100440ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:15,939 100440ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2031141
INFO  2025-02-10 13:21:15,939 100440ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:15 PM
INFO  2025-02-10 13:21:16,002 100503ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,017 100518ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,351 100852ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:16,351 100852ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.3177766
INFO  2025-02-10 13:21:16,351 100852ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,418 100919ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,435 100936ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,653 101154ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:16,653 101154ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2175034
INFO  2025-02-10 13:21:16,653 101154ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,715 101216ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,731 101232ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:16,989 101490ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:16,989 101490ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2580624
INFO  2025-02-10 13:21:16,989 101490ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:16 PM
INFO  2025-02-10 13:21:17,052 101553ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,067 101568ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,286 101787ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:17,286 101787ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2031195
INFO  2025-02-10 13:21:17,286 101787ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,348 101849ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,364 101865ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,630 102131ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:17,630 102131ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2656171
INFO  2025-02-10 13:21:17,630 102131ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,692 102193ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,708 102209ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,927 102428ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
INFO  2025-02-10 13:21:17,927 102428ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop duration 00:00:00.2187467
INFO  2025-02-10 13:21:17,927 102428ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData end in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:17,989 102490ms TimeSheet              GetLogs4ReRun      - UpdateTimeSheetDayWiseBranchStatus start in timesheetbussiness 2/10/2025 1:21:17 PM
INFO  2025-02-10 13:21:18,005 102506ms TimeSheet              mesheetReportsData - GenerateTimesheetReportsData start in timesheetbussiness 2/10/2025 1:21:18 PM
INFO  2025-02-10 13:21:18,255 102756ms TimeSheet              mesheetReportsData - Get_mutliple_FromQuery loop
